mese;giorno*;Pioggia mm;Temp. min gradi C;Temp. med gradi C;Temp. max gradi C;Umidita' min %;Umidita' med %;Umidita' max %;Vento med km/h;Vento max km/h;Dir. V. max gradi N;Radiaz. KJ/m2;Press. med hPa
1;1;19.6;1.4;3.4;5.5;91;97;98;6;19;5;1180;998.4
1;2;9.8;2.5;4.4;6.3;94;97;98;3;13;328;1247;1000.6
1;3;0.0;0.9;4.9;11.0;45;73;98;5;13;43;4671;1009.0
1;4;0.0;-1.9;4.3;8.8;48;63;92;8;24;124;6632;1011.7
1;5;0.0;2.7;5.4;8.7;50;64;75;8;25;51;3436;1008.3
1;6;0.0;0.7;5.3;7.9;65;74;87;9;26;55;2400;1011.0
1;7;0.0;2.8;6.5;9.9;46;62;80;12;30;91;5958;1016.0
1;8;0.0;-1.0;3.7;7.0;46;58;76;12;40;77;4863;1021.3
1;9;0.0;1.1;3.8;8.2;28;46;59;17;33;62;7179;1021.2
1;10;0.0;-2.7;3.4;10.3;32;53;81;9;32;82;7251;1020.7
1;11;0.0;-3.6;3.0;12.1;35;66;84;4;13;37;7207;1019.6
1;12;0.0;-3.8;3.3;10.6;41;64;86;6;19;63;7301;1021.9
1;13;0.0;-5.3;1.2;7.9;40;65;90;6;19;96;7723;1024.4
1;14;0.0;-6.2;0.3;7.2;37;63;89;10;39;63;8005;1022.6
1;15;0.0;-3.6;0.6;4.2;44;54;67;18;40;69;7100;1023.3
1;16;0.0;-6.1;-1.0;4.3;44;65;88;4;10;320;4056;1020.0
1;17;2.4;-3.8;0.0;1.5;67;83;98;2;9;139;1536;1013.8
1;18;0.2;-3.4;0.5;2.3;93;97;98;2;9;58;1443;1001.4
1;19;0.0;-5.0;1.4;10.4;40;82;98;4;15;349;8722;1012.5
1;20;0.0;-5.0;-0.1;2.4;79;94;98;4;16;177;5422;1018.0
1;21;0.0;-0.7;3.6;7.4;71;86;98;5;15;335;3648;1012.0
1;22;0.0;-2.4;4.0;11.4;37;70;97;5;17;191;8000;1013.2
1;23;0.0;-7.0;-1.7;3.2;32;52;88;8;30;124;8013;1022.3
1;24;0.0;-6.0;-1.8;3.7;18;35;50;14;39;72;8650;1027.2
1;25;0.0;-10.0;-2.1;3.7;8;28;62;11;36;57;8618;1018.2
1;26;0.0;-3.5;-0.9;1.2;31;42;68;15;38;63;2983;1013.0
1;27;1.2;0.4;3.0;6.3;48;59;89;13;34;46;3261;1015.7
1;28;16.4;3.3;5.0;6.0;84;96;98;6;19;19;939;1018.0
1;29;3.0;4.8;7.7;12.6;76;93;98;4;12;48;5829;1016.9
1;30;0.0;0.4;6.1;13.6;56;85;98;6;23;73;7578;1014.3
1;31;0.0;-1.1;6.3;16.2;43;78;98;4;10;54;8947;1009.4
2;1;0.0;-0.5;7.9;16.4;17;54;94;9;30;88;9858;1008.2
2;2;0.0;-0.3;8.2;17.3;26;52;76;6;19;99;9685;1004.2
2;3;0.0;-2.0;6.1;14.5;33;61;83;5;17;210;9579;1003.9
2;4;0.0;-1.1;3.8;10.0;33;53;85;15;49;90;9616;1007.6
2;5;0.0;-2.5;1.8;7.6;16;41;56;12;41;63;10088;1014.5
2;6;0.0;-3.5;-0.4;4.4;26;40;54;9;26;71;9819;1016.5
2;7;0.4;-7.4;-2.1;3.9;41;61;84;3;14;156;7561;1014.3
2;8;0.0;-5.9;0.4;3.8;51;69;88;4;12;226;6208;1003.1
2;9;0.0;-4.0;2.6;9.0;60;80;94;5;16;337;9435;997.9
2;10;0.0;-4.1;2.6;10.3;32;61;92;5;15;97;8945;1002.5
2;11;0.0;-2.9;4.2;10.9;8;34;69;9;30;341;11456;1011.4
2;12;0.0;-5.5;1.1;8.3;34;58;86;5;20;192;9164;1015.8
2;13;0.0;-5.0;1.2;8.1;40;69;91;4;14;215;9878;1014.7
2;14;0.0;-4.7;1.2;8.6;41;72;89;4;14;240;10044;1015.0
